Year,Ballpark,Game_Avg_Attendance,Total_Season_Attendance,NL_Avg_Attendance
1958,Los Angeles Memorial Coliseum,23968.0,1845556.0,1270575.0
1959,Los Angeles Memorial Coliseum,26552.0,2071045.0,1249316.0
1960,Los Angeles Memorial Coliseum,29271.0,2253887.0,1335620.0
1961,Los Angeles Memorial Coliseum,23432.0,1804250.0,1091438.0
1962,Dodger Stadium,33396.0,2755184.0,1136016.0
1963,Dodger Stadium,31148.0,2538602.0,1138223.0
1964,Dodger Stadium,27180.0,2228751.0,1204519.0
1965,Dodger Stadium,31526.0,2553577.0,1358114.0
1966,Dodger Stadium,32309.0,2617029.0,1501547.0
1967,Dodger Stadium,20548.0,1664362.0,1297143.0
1968,Dodger Stadium,19520.0,1581093.0,1178536.0
1969,Dodger Stadium,22031.0,1784527.0,1257912.0
1970,Dodger Stadium,21083.0,1697142.0,1388517.0
1971,Dodger Stadium,25489.0,2064594.0,1443738.0
1972,Dodger Stadium,24011.0,1860858.0,1294144.0
1973,Dodger Stadium,26373.0,2136192.0,1389610.0
1974,Dodger Stadium,32500.0,2632474.0,1414860.0
1975,Dodger Stadium,31350.0,2539349.0,1383374.0
1976,Dodger Stadium,29461.0,2386301.0,1388377.0
1977,Dodger Stadium,36483.0,2955087.0,1589186.0
1978,Dodger Stadium,41331.0,3347845.0,1675577.0
1979,Dodger Stadium,35320.0,2860954.0,1764868.0
1980,Dodger Stadium,39869.0,3249287.0,1760340.0
1981,Dodger Stadium,43296.0,2381292.0,1039866.0
1982,Dodger Stadium,44554.0,3608881.0,1792285.0
1983,Dodger Stadium,43071.0,3510313.0,1795774.0
1984,Dodger Stadium,38702.0,3134824.0,1731786.0
1985,Dodger Stadium,40304.0,3264593.0,1857680.0
1986,Dodger Stadium,37324.0,3023208.0,1861123.0
1987,Dodger Stadium,34536.0,2797409.0,2061180.0
1988,Dodger Stadium,36793.0,2980262.0,2041606.0
1989,Dodger Stadium,36808.0,2944653.0,2110320.0
1990,Dodger Stadium,37067.0,3002396.0,2040959.0
1991,Dodger Stadium,41335.0,3348170.0,2058014.0
1992,Dodger Stadium,30534.0,2473266.0,2009261.0
1993,Dodger Stadium,39141.0,3170393.0,2637470.0
1994,Dodger Stadium,39641.0,2279355.0,1843416.0
1995,Dodger Stadium,38420.0,2766251.0,1793589.0
1996,Dodger Stadium,39364.0,3188454.0,2169949.0
1997,Dodger Stadium,40982.0,3319504.0,2277526.0
1998,Dodger Stadium,38139.0,3089222.0,2401674.0
1999,Dodger Stadium,38247.0,3098042.0,2380436.0
2000,Dodger Stadium,35559.0,2880242.0,2480194.0
2001,Dodger Stadium,37249.0,3017143.0,2481346.0
2002,Dodger Stadium,38655.0,3131077.0,2309294.0
2003,Dodger Stadium,38748.0,3138626.0,2273813.0
2004,Dodger Stadium,43065.0,3488283.0,2512690.0
2005,Dodger Stadium,44489.0,3603680.0,2583685.0
2006,Dodger Stadium,46400.0,3758421.0,2598741.0
2007,Dodger Stadium,47614.0,3856753.0,2756384.0
2008,Dodger Stadium,46056.0,3730553.0,2755082.0
2009,Dodger Stadium,46440.0,3761669.0,2571627.0
2010,Dodger Stadium,43979.0,3562320.0,2563111.0
2011,Dodger Stadium,36236.0,2935139.0,2547018.0
2012,Dodger Stadium,41040.0,3324246.0,2592218.0
2013,Dodger Stadium,46216.0,3743527.0,2629060.0
2014,Dodger Stadium,46696.0,3782337.0,2615565.0
2015,Dodger Stadium,46479.0,3764815.0,2593535.0
2016,Dodger Stadium,45720.0,3703312.0,2540903.0
2017,Dodger Stadium,46492.0,3765856.0,2553787.0
2018,Dodger Stadium,47042.0,3857500.0,2481939.0
2019,Dodger Stadium,49066.0,3974309.0,2526804.0
2020,Dodger Stadium,,,
2021,Dodger Stadium,34626.0,2804693.0,1690911.0
2022,Dodger Stadium,47672.0,3861408.0,2363497.0
2023,Dodger Stadium,47371.0,3837079.0,2550714.0
2024,Dodger Stadium,48657.0,3941251.0,2575382.0
